id_licencia,emp_direccion
282,CA. JUAN CUGLIEVAN N 1230 (INT. COMPAÑÍA DE SEGURIDAD PROSEGUR S.A.) - CHICLAYO
283,CA. ARICA N 1028 - HÉROES CIVILES N 178-182-188 - CHICLAYO 
284,CA. VICENTE DE LA VEGA N 1236 - 2 PISO CHICLAYO 
285,AV. JOSE MARIA ESCRIVA DE BALAGUER N 1415 (INT. SODIMAC) - CHICLAYO 
286,AV. SESQUICENTENARIO N 699 - URB. SANTA VICTORIA 
287,AV. JOSÉ BALTA N 027 - CHICLAYO
288,CA. JUAN FANNING N 155 - STD. 22 - CHICLAYO 
289,AV. FRANCISCO BOLOGNESI N 901 - CHICLAYO 
290,AV. FRANCISCO BOLOGNESI N 975 - CHICLAYO
291,CA. 07 DE ENERO N 006 PP.JJ. ZAMORA - CHICLAYO 
292,CA. PIURA NORTE N 350 URB. LA PRIMAVERA - CHICLAYO
293,AV. FRANCISCO BOLOGNESI N 590 INT. 07 - CHICLAYO
294,CA. ALFONSO UGARTE N 628 DTO 405 - CHICLAYO 
295,CA. 07 DE ENERO S/N CUADRA 15 - CHICLAYO  
296,AV. PEDRO RUIZ N 1100 - CHICLAYO 
297,CA. TEATRO N 137 URB. LAS BRISAS - CHICLAYO 
298,AV. VÍCTOR RAÚL HAYA DE LA TORRE N 150 URB. SAN EDUARDO - CHICLAYO
299,AV. MIGUEL GRAU N 157 - URB. CAMPODONICO - CHICLAYO
300,CA. COIS OESTE N 564 URB. SAN LUIS - CHICLAYO 
301,AV. LA LIBERTAD N 658 URB. FEDERICO VILLARREAL - CHICLAYO
302,PP.JJ. FANNY ABANTO CALLE MZ. Q  LT 04 - CHICLAYO
303,PSJE. SANTA ELENA N 155 URB. SANTA VICTORIA - CHICLAYO 
304,AV. JORGE CHAVEZ N 1001 URB. CAMPODÓNICO - CHICLAYO
305,AV. MARISCAL NIETO N 480 INT. F 06 URB. CAMPODÓNICO - CHICLAYO 
306,AV. SAENZ PEÑA N 106 - CHICLAYO
307,CA. MACARA N 71- 2 PISO URB. JOSÉ QUIÑONES GONZALES - CHICLAYO
308,AV. ELVIRA GARCÍA Y GARCÍA N 165 DPTO. 203 -EDIFICIO LAS GAVIOTAS - CHICLAYO
309,MZ. L LOTE 34 URB. LA PARADA - CHICLAYO 
310,AV. SAENZ PEÑA N 456 - C  CHICLAYO
311,CA. IQUITOS N 161 URB. JOSÉ QUIÑONES GONZALES - CHICLAYO 
312,MZ. A LOTE 09 URB. MIRAFLORES II ETAPA - CHICLAYO 
313,AV. SAENZ PEÑA N 1325 CHICLAYO
